Data loaded successfully.
Loading dataset...
Excluded columns containing 'id': ['tuple_id']
Randomly selected target column: act_arr_time
Target column act_arr_time has been encoded
Text output saved as /root/data_experiments/results/cluster_results/repaired_flights_30.63%_HC.txt
Plot saved as /root/data_experiments/results/cluster_results/repaired_flights_30.63%_HC.png
Program completed in: 15.428985357284546 seconds
494879109401218, Weighted Score: 8.011689535275485
Cluster count: 81, Silhouette Score: 0.7283204560668504, Davies-Bouldin Score: 0.49824239685573085, Weighted Score: 4.124110984774622
Cluster count: 82, Silhouette Score: 0.7292060320317078, Davies-Bouldin Score: 0.5002899462915016, Weighted Score: 4.127230478295552
Cluster count: 83, Silhouette Score: 0.7311167157504918, Davies-Bouldin Score: 0.4972384914075297, Weighted Score: 4.135331877975915
Cluster count: 84, Silhouette Score: 0.7335306667133755, Davies-Bouldin Score: 0.4961077735829469, Weighted Score: 4.1450918675374036
Cluster count: 85, Silhouette Score: 0.7319103962782085, Davies-Bouldin Score: 0.4957829517200984, Weighted Score: 4.138736213475205
Cluster count: 86, Silhouette Score: 0.7394534927534069, Davies-Bouldin Score: 0.49455837649208945, Weighted Score: 4.168913493981478
Cluster count: 87, Silhouette Score: 0.7408882506748093, Davies-Bouldin Score: 0.4931656516769467, Weighted Score: 4.174891467688456
Cluster count: 88, Silhouette Score: 0.7360902589925004, Davies-Bouldin Score: 0.4958951993734386, Weighted Score: 4.155285880834568
Cluster count: 89, Silhouette Score: 0.7361182659741469, Davies-Bouldin Score: 0.4952349076120637, Weighted Score: 4.155517822505095
Cluster count: 90, Silhouette Score: 0.7360835435207409, Davies-Bouldin Score: 0.4929811668141272, Weighted Score: 4.155792395689447
Cluster count: 91, Silhouette Score: 0.7339286311473833, Davies-Bouldin Score: 0.49581074436910044, Weighted Score: 4.1467233508366625
Cluster count: 92, Silhouette Score: 0.7338608931301869, Davies-Bouldin Score: 0.49574006937410414, Weighted Score: 4.146467760820028
Cluster count: 93, Silhouette Score: 0.728050728834493, Davies-Bouldin Score: 0.49761468152623134, Weighted Score: 4.123162364222491
Cluster count: 94, Silhouette Score: 0.7244769933498711, Davies-Bouldin Score: 0.4972388250709987, Weighted Score: 4.109172801309396
Cluster count: 95, Silhouette Score: 0.7243149750754349, Davies-Bouldin Score: 0.4977407658266579, Weighted Score: 4.108445091696961
Cluster count: 96, Silhouette Score: 0.7265816610898423, Davies-Bouldin Score: 0.500522126430533, Weighted Score: 4.1168478288732455

Best number of clusters: 76
Best Weighted Score: 4.187330274896285
Final Silhouette Score: 0.7443686508403482
Final Davies-Bouldin Score: 0.5012660534921386
