Data loaded successfully.
Text output saved to /mnt/d/algorithm paper/ML algorithms codes/data_experiments/results/cluster_results/repaired_flights_16.97%_DBSCAN.txt
Plot saved as /mnt/d/algorithm paper/ML algorithms codes/data_experiments/results/cluster_results/repaired_flights_16.97%_DBSCAN.png
Program completed in: 13.1113862991333 seconds
Clusters: 29, eps: 0.9000000000000002, min_samples: 5, Silhouette: 0.5350566664895322, DB Score: 1.1889715306995443, Combined Score: 3.3404722736955836
Clusters: 19, eps: 0.9000000000000002, min_samples: 10, Silhouette: 0.5047453490574558, DB Score: 1.177047448696981, Combined Score: 3.2445609532007866
Clusters: 15, eps: 0.9000000000000002, min_samples: 15, Silhouette: 0.47515257492448554, DB Score: 1.2298029905292136, Combined Score: 3.147896964311445
Clusters: 13, eps: 0.9000000000000002, min_samples: 20, Silhouette: 0.45310301836018957, DB Score: 1.2443419561731979, Combined Score: 3.0798936427076398
Clusters: 10, eps: 0.9000000000000002, min_samples: 25, Silhouette: 0.42090093526691547, DB Score: 1.3004011446872175, Combined Score: 2.9803213253205767
Clusters: 29, eps: 0.9500000000000003, min_samples: 5, Silhouette: 0.5358737280104738, DB Score: 1.1948221054677102, Combined Score: 3.342595133235862
Clusters: 19, eps: 0.9500000000000003, min_samples: 10, Silhouette: 0.5047453490574558, DB Score: 1.177047448696981, Combined Score: 3.2445609532007866
Clusters: 16, eps: 0.9500000000000003, min_samples: 15, Silhouette: 0.4821393084443243, DB Score: 1.221189980001968, Combined Score: 3.1701112418071133
Clusters: 15, eps: 0.9500000000000003, min_samples: 20, Silhouette: 0.46040224447166084, DB Score: 1.2366662848928192, Combined Score: 3.1024895133100836
Clusters: 11, eps: 0.9500000000000003, min_samples: 25, Silhouette: 0.43116347235424346, DB Score: 1.2778218404849448, Combined Score: 3.0120877466290246
Clusters: 29, eps: 1.0000000000000004, min_samples: 5, Silhouette: 0.5363044002825029, DB Score: 1.1937633721266077, Combined Score: 3.34409209392707
Clusters: 19, eps: 1.0000000000000004, min_samples: 10, Silhouette: 0.5073204557403822, DB Score: 1.1880844001575728, Combined Score: 3.251673595253702
Clusters: 16, eps: 1.0000000000000004, min_samples: 15, Silhouette: 0.4849660986695272, DB Score: 1.2164503552779344, Combined Score: 3.1792550168630638
Clusters: 16, eps: 1.0000000000000004, min_samples: 20, Silhouette: 0.46404211345092045, DB Score: 1.212285825397401, Combined Score: 3.1156348799861444
Clusters: 11, eps: 1.0000000000000004, min_samples: 25, Silhouette: 0.43180679308847386, DB Score: 1.2765749043770314, Combined Score: 3.0140766143325735
